[s]	rid
mhs:MeasurementOOA.3.1.1thru3.2.2.5-640	MDC_ATTR_TIME_END_SEG
mhs:MeasurementOOA.3.1.1thru3.2.2.5-641	MDC_ATTR_TIME_PD_SAMP
mhs:MeasurementOOA.3.1.1thru3.2.2.5-642	MDC_ATTR_TIME_REL
mhs:MeasurementOOA.3.1.1thru3.2.2.5-643	MDC_ATTR_TIME_STAMP_ABS
mhs:MeasurementOOA.3.1.1thru3.2.2.5-644	MDC_ATTR_TIME_STAMP_REL
mhs:MeasurementOOA.3.1.1thru3.2.2.5-645	MDC_ATTR_TIME_START_SEG
mhs:MeasurementOOA.3.1.1thru3.2.2.5-647	MDC_ATTR_UNIT_CODE
mhs:MeasurementOOA.3.1.1thru3.2.2.5-648	MDC_ATTR_UNIT_LABEL_STRING
mhs:MeasurementOOA.3.1.1thru3.2.2.5-649	MDC_ATTR_VAL_BATT_CHARGE
mhs:MeasurementOOA.3.1.1thru3.2.2.5-650	MDC_ATTR_VAL_ENUM_OBS
mhs:MeasurementOOA.3.1.1thru3.2.2.5-651	MDC_ATTR_AL_COND
mhs:MeasurementOOA.3.1.1thru3.2.2.5-653	MDC_ATTR_TIME_REL_HI_RES
mhs:MeasurementOOA.3.1.1thru3.2.2.5-654	MDC_ATTR_TIME_STAMP_REL_HI_RES
mhs:MeasurementOOA.3.1.1thru3.2.2.5-69	MDC_ATTR_UNIT_CODE
mhs:MeasurementOOA.3.1.1thru3.2.2.5-705	MDC_ACT_SEG_CLR
mhs:MeasurementOOA.3.1.1thru3.2.2.5-706	MDC_ACT_SEG_GET_INFO
mhs:MeasurementOOA.3.1.1thru3.2.2.5-707	MDC_ACT_SET_TIME
mhs:MeasurementOOA.3.1.1thru3.2.2.5-72	MDC_ATTR_UNIT_LABEL_STRING
mhs:MeasurementOOA.3.1.1thru3.2.2.5-83	MDC_ATTR_TIME_START
mhs:MeasurementOOA.3.1.1thru3.2.2.5-87	MDC_ATTR_TIME_STOP
mhs:MeasurementOOA.3.1.1thru3.2.2.5-9	MDC_MOC_VMO_METRIC
mhs:MeasurementOOA.3.1.1thru3.2.2.5-94	MDC_ATTR_NU_VAL_OBS
mhs:MeasurementOOA.3.1.1thru3.2.2.5-95	MDC_ATTR_NU_CMPD_VAL_OBS
mhs:MeasurementOOA.3.1.1thru3.2.2.5-96	MDC_ATTR_TIME_STAMP_ABS
mhs:MeasurementPumpA.8.7.10-0	Reference ID
mhs:MeasurementRespA.8.4.5-0	Reference ID
mhs:MeasurementRespA.8.4.5-166	MDC_PRESS_AWAY_END_EXP_POS_INTRINSIC
mhs:MeasurementRespA.8.4.5-180	MDC_PRESS_AWAY_END_EXP_POS_INTRINSIC
mhs:MeasurementRespA.8.4.5-182	MDC_RESP_RATE
mhs:MeasurementRespA.8.4.5-210	MDC_RESP_RATE
mhs:MeasurementSiteBrainA.9.6.5-0	Reference ID
mhs:MeasurementSiteEOGA.9.5.4-0	Reference ID
mhs:MeasurementSiteHeadA.9.4.3-0	Reference ID
mhs:MeasurementSiteHeadA.9.4.3-74	MDC_HEAD_EAR_L
mhs:MeasurementSiteHeadA.9.4.3-75	MDC_HEAD_EAR_R
mhs:MeasurementSiteMiscA.9.8.7-0	Reference ID
mhs:MeasurementSiteMiscA.9.8.7-10	MDC_HEAD_EAR_R
mhs:MeasurementSiteMiscA.9.8.7-9	MDC_HEAD_EAR_L
mhs:MeasurementSiteMuscA.9.3.2-0	Reference ID
mhs:MeasurementSiteMuscA.9.3.2-1	MDC_MUSC_SKELETAL
mhs:MeasurementSiteMuscA.9.3.2-10	MDC_MUSC_HEAD_RECT_SUP
mhs:MeasurementSiteMuscA.9.3.2-100	MDC_MUSC_HEAD_CRICOTHYROID
mhs:MeasurementSiteMuscA.9.3.2-103	MDC_MUSC_HEAD_THYROARYTEROID
mhs:MeasurementSiteMuscA.9.3.2-106	MDC_MUSC_NECK
mhs:MeasurementSiteMuscA.9.3.2-109	MDC_MUSC_NECK_PLATYSMA
mhs:MeasurementSiteMuscA.9.3.2-112	MDC_MUSC_NECK_CAPT_LONG
mhs:MeasurementSiteMuscA.9.3.2-115	MDC_MUSC_NECK_STERNOCLEIDOMASTOID
mhs:MeasurementSiteMuscA.9.3.2-118	MDC_MUSC_NECK_DIGRASTRIC
mhs:MeasurementSiteMuscA.9.3.2-121	MDC_MUSC_NECK_DIGRASTRIC_VENTER_ANT
mhs:MeasurementSiteMuscA.9.3.2-124	MDC_MUSC_NECK_DIGRASTRIC_VENTER_POST
mhs:MeasurementSiteMuscA.9.3.2-127	MDC_MUSC_NECK_MYLOHYOID
